Model,MAE,RMSE,R2 Score
Linear Regression,33.69186606581559,45.879605264861,0.5351379007071402
Random Forest,31.66125158807942,44.00256399199362,0.5723969836295497
Gradient Boosting,32.543656739927755,44.64828941898144,0.5597549889673118
Random Forest + MinMaxScaler,31.63484990380776,43.958144955192076,0.5732598482290638
